Date,Open,High,Low,Close,Adj Close,Volume
2017-02-06,130.98,132.06,130.3,132.06,131.44,17058500.0
2017-02-07,132.24,133.0,131.66,131.84,131.22,14596400.0
2017-02-08,132.6,134.44,132.44,134.2,133.57,22390600.0
2017-02-09,134.49,134.5,133.31,134.14,133.51,16470600.0
2017-02-10,134.1,134.94,133.68,134.19,133.56,15061900.0
2017-02-13,134.7,134.7,133.7,134.05,133.42,13526200.0
2017-02-14,134.1,134.23,132.55,133.85,133.22,14364900.0
2017-02-15,133.45,133.7,132.66,133.44,132.81,13226500.0
2017-02-16,133.07,133.87,133.02,133.84,133.21,12831100.0
2017-02-17,133.5,134.09,133.17,133.53,132.9,12276500.0
2017-02-21,133.5,133.91,132.9,133.72,133.09,14759100.0
2017-02-22,133.6,136.79,133.46,136.12,135.48,27360100.0
2017-02-23,135.89,136.12,134.33,135.36,134.73,18422500.0
2017-02-24,134.16,135.62,134.16,135.44,134.8,12625700.0
2017-02-27,135.26,137.18,135.02,136.41,135.77,14306700.0
2017-02-28,136.79,136.81,134.75,135.54,134.9,16112100.0
2017-03-01,136.47,137.48,136.3,137.42,136.78,16257000.0
2017-03-02,137.09,137.82,136.31,136.76,136.12,12294800.0
2017-03-03,136.63,137.33,136.08,137.17,136.53,11160600.0
2017-03-06,136.88,137.83,136.51,137.42,136.78,12748200.0
2017-03-07,137.03,138.37,136.99,137.3,136.66,13527100.0
2017-03-08,137.15,137.99,137.05,137.72,137.07,10184500.0
2017-03-09,137.72,138.57,137.4,138.24,137.59,15535300.0
2017-03-10,138.91,139.49,138.22,138.79,138.14,16314100.0
2017-03-13,138.71,139.68,138.67,139.6,138.95,10955500.0
2017-03-14,139.46,139.46,138.52,139.32,138.67,12944000.0
2017-03-15,139.29,140.1,138.49,139.72,139.06,19344800.0
2017-03-16,140.2,140.25,139.73,139.99,139.33,13612900.0
2017-03-17,140.34,140.34,139.7,139.84,139.18,20592800.0
2017-03-20,139.71,140.19,139.25,139.94,139.28,12099500.0
2017-03-21,141.15,142.31,138.4,138.51,137.86,29894800.0
2017-03-22,137.93,139.79,137.6,139.59,138.94,17055400.0
2017-03-23,139.48,140.39,139.09,139.53,138.88,13022800.0
2017-03-24,140.08,141.02,139.76,140.34,139.68,16664700.0
2017-03-27,139.05,140.65,138.77,140.32,139.66,12800500.0
2017-03-28,140.36,141.95,140.01,141.76,141.1,14679400.0
2017-03-29,141.99,142.86,141.43,142.65,141.98,16527600.0
2017-03-30,142.4,142.95,141.85,142.41,141.74,12404000.0
2017-03-31,142.31,142.63,141.89,142.05,141.38,11478300.0
2017-04-03,141.93,142.47,140.82,142.28,141.61,13564000.0
2017-04-04,141.86,142.09,141.27,141.73,141.07,12948600.0
2017-04-05,142.26,143.44,141.29,141.85,141.18,17158100.0
2017-04-06,142.11,142.22,140.91,141.17,140.51,15103400.0
2017-04-07,141.2,141.55,140.24,140.78,140.12,11818300.0
2017-04-10,141.0,141.43,140.63,141.04,140.38,9039400.0
2017-04-11,140.8,141.03,138.81,139.92,139.26,16638100.0
2017-04-12,139.72,140.4,139.44,139.58,138.93,11612500.0
2017-04-13,139.62,140.58,139.33,139.39,138.74,10965600.0
2017-04-17,139.76,141.55,139.75,141.42,140.76,11519700.0
2017-04-18,141.27,141.91,140.61,140.96,140.3,14807500.0
2017-04-19,141.35,143.04,141.27,142.27,141.6,15563900.0
2017-04-20,142.95,144.25,142.69,143.8,143.13,15968200.0
2017-04-21,143.9,144.17,142.27,143.68,143.01,12382000.0
2017-04-24,144.96,145.67,144.34,145.47,144.79,14407200.0
2017-04-25,145.79,147.15,145.79,146.49,145.8,17767500.0
2017-04-26,147.09,147.59,146.09,146.56,145.87,12395000.0
2017-04-27,146.67,147.75,146.14,147.7,147.01,11275100.0
2017-04-28,149.5,151.53,149.07,150.25,149.55,30652200.0
2017-05-01,151.74,152.57,151.42,152.46,151.74,25218300.0
2017-05-02,153.34,153.44,151.66,152.78,152.06,21870400.0
2017-05-03,153.6,153.6,151.34,151.8,151.09,29782500.0
2017-05-04,150.17,151.52,148.72,150.85,150.14,36225500.0
2017-05-05,151.45,151.63,149.79,150.24,149.54,17148500.0
2017-05-08,150.71,151.08,149.74,151.06,150.35,15827500.0
2017-05-09,151.49,152.59,150.21,150.48,149.77,17453900.0
2017-05-10,150.23,150.52,148.86,150.29,149.59,12080700.0
2017-05-11,150.31,150.65,149.41,150.04,149.34,11841900.0
2017-05-12,150.4,150.46,149.63,150.33,149.62,9598200.0
2017-05-15,150.17,151.48,149.77,150.19,149.49,15064700.0
2017-05-16,150.11,150.21,149.03,149.78,149.08,14550800.0
2017-05-17,148.0,148.67,144.42,144.85,144.17,28300100.0
2017-05-18,144.72,148.15,144.51,147.66,146.97,23031600.0
2017-05-19,148.45,149.39,147.96,148.06,147.37,16187900.0
2017-05-22,148.08,148.59,147.69,148.24,147.54,12586700.0
2017-05-23,148.52,148.81,147.25,148.07,147.38,12817800.0
2017-05-24,148.51,150.23,148.42,150.04,149.34,17862400.0
2017-05-25,150.3,152.59,149.95,151.96,151.25,19891400.0
2017-05-26,152.23,152.25,151.15,152.13,151.42,14996200.0
2017-05-30,151.97,152.9,151.64,152.38,151.67,13226000.0
2017-05-31,152.7,153.35,151.09,151.46,150.75,18023900.0
2017-06-01,151.75,152.29,150.3,151.53,150.82,14530600.0
2017-06-02,151.85,153.63,151.3,153.61,152.89,16854400.0
2017-06-05,153.64,154.71,153.41,153.63,152.91,12520400.0
2017-06-06,153.41,154.52,152.48,152.81,152.09,13457100.0
2017-06-07,153.27,153.75,152.34,153.12,152.4,12066700.0
2017-06-08,154.08,154.73,153.1,154.71,153.98,17799400.0
2017-06-09,154.77,155.59,146.61,149.6,148.9,35577700.0
2017-06-12,148.17,149.2,144.56,148.44,147.74,33170200.0
2017-06-13,150.15,151.18,148.9,150.68,149.97,20483400.0
2017-06-14,151.26,152.4,149.05,150.25,149.55,20808800.0
2017-06-15,147.67,150.04,146.37,149.8,149.1,18994200.0
